review,BATTERY,CAMERA,GENERAL,SER&ACC,PERFORMANCE,DESIGN,FEATURES,PRICE,SCREEN,STORAGE
Xin ai có ý định mua thì đừng mua,,,negative,,,,,,,
mới mua hơn 1 tháng mà bị đơ nhiều lắm,,,,,negative,,,,,
"chụp ảnh thì bị thoát ra,chụp mãi k đc",,negative,,,,,,,,
máy khá oke,,,positive,,,,,,,
"chụp ảnh ko đẹp iPhone, nhìn ko chân thật lắm. Đc cái camera góc rộng rất OK và chụp hình sáng, nhưng hình ảnh lại đc đẹp mắt",,neutral,,,,,,,,
chạy khá muot ít nóng máy,,,,,positive,,,,,
Màn hình hiển thị tốt,,,,,,,,,positive,
mỗi cái pin ko dùng để chế độ chờ có bật wifi cũng tụt pin ak phai để may bay roi tat wifi moi ko tụt,negative,,,,,,,,,
camera sau và đèn led bị lỗi không dùng được,,negative,,,,,,,,
chơi game cũng tạm,,,,,neutral,,,,,
hay bị mất thông tin,,,,,,,negative,,,
sản phẩm pin trâu sạc nhanh,positive,,,,,,,,,
Máy ổn,,,positive,,,,,,,
pin k trâu lắm nhưng đủ dùng cho 1 ngày,neutral,,,,,,,,,
Nhân viên phục vụ rất tốt,,,,positive,,,,,,
Chơi game k giật nhưng hơi nóng 1 chút,,,,,neutral,,,,,
Nói chung ngon trong tầm giá,,,positive,,,,,,,
"Máy bị lỗi vân tay: lúc thì đc lúc thì ko được, gặp vấn đề nặng trong việc nhận tin nhắn trên zalo và messenger",,,,,,,negative,,,
Quá thất vọng về vsmart,,,,negative,,,,,,
Pin tự nhiên nóng và tụt rất nhanh,negative,,,,,,,,,
sản phẩm tốt,,,positive,,,,,,,
có quà hịn,,,,positive,,,,,,
Camera cận cảnh nhận diện nhanh rất tuyệt,,,,,,,positive,,,
Máy không nhanh nhưng được cái chip tiết kiệm pin máy mát không bị nóng,,,,,neutral,,,,,
thấy máy tệ,,,negative,,,,,,,
"Chụp ảnh thì hơi kì kì, nhìn ko thật",,negative,,,,,,,,
"Máy dùng 5 phút đã nóng. Hơi lag, ko nhạy",,,,,negative,,,,,
Thua con j7 prime mình dùng đã 2 năm còn tốt hơn con này,,,negative,,,,,,,
chụp hình thì ok đẹp,,positive,,,,,,,,
pin mau hết nhưng được cái sạc nhanh,neutral,,,,,,,,,
cảm biến vân tay lúc nhạy lúc k,,,,,,,negative,,,
"lâu lâu màn hình giựt liên tục @@ phải out ra vào lại thì mới hết chả hiểu nổi, còn chơi game chỉ chơi đc mấy game nhẹ như nấu ăn, nstt các kiểu... :))) còn chiến liên quân thì coi như bỏ lag game cực kì",,,,,negative,,,,,
Đt giá tầm 6tr thì mua con này thì hơi tiếc,,,,,,,,negative,,
"Khoái nhất con này ở khoảng pin, mình chỉ dùng tác vụ nhẹ nên mỗi ngày chỉ sạc một lần",positive,,,,,,,,,
Rất hài lòng,,,positive,,,,,,,
pin rất trâu,positive,,,,,,,,,
Nhân viên rất nhiệt tình,,,,positive,,,,,,
sử dụng rất ok,,,positive,,,,,,,
Màn hình cảm ứng rất tệ,,,,,,,negative,,,
Camera sau chụp hình rất xấu,,negative,,,,,,,,
Máy chậm,,,,,negative,,,,,
Máy pin trâu,positive,,,,,,,,,
sau hay bị tắt nguồn đột ngột,,,,,negative,,,,,
camera lời qua,,negative,,,,,,,,
Nói chung may k có gì che,,,positive,,,,,,,
Dùng ốp tag kèm thì máy dày quá,,,,,,negative,,,,
Máy ngon,,,positive,,,,,,,
Pin trâu,positive,,,,,,,,,
hiệu năng tốt,,,,,positive,,,,,
Nhân viên tgdđ nhiệt tình chu đáo,,,,positive,,,,,,
chơi game cực đã,,,,,positive,,,,,
pin trâu+sạc nhanh,positive,,,,,,,,,
hiệu năng tốt,,,,,positive,,,,,
chụp ảnh ở mức bình thường,,neutral,,,,,,,,
được update phần mềm thường xuyên,,,,,positive,,,,,
phần thiết kế là camera lồi quá nên bị xước,,,,,,negative,,,,
màn hình siêu bền với gorillas 3,,,,,,,,,positive,
wifi hay bị lag,,,,,,,negative,,,
đáng mua,,,positive,,,,,,,
Sản phẩm tốt,,,positive,,,,,,,
 pin sạc nhanh khỏi bàn,positive,,,,,,,,,
không thấy lỗi gì OK,,,positive,,,,,,,
không cần sạc qua đêm sáng dậy dọn dẹp nhà tiện thể sạc,positive,,,,,,,,,
Bin rất tệ. Máy ko xài vẫn tuột phần trăm,negative,,,,,,,,,
Pin rất tệ,negative,,,,,,,,,
Máy ngon,,,positive,,,,,,,
nghe nhạc phê vãi,,,,,,,positive,,,
nhân viên tư vấn nhiệt tình,,,,positive,,,,,,
Ok tốt như mong đợi,,,positive,,,,,,,
Lướt we hơi chậm,,,,,negative,,,,,
đẹp,,,,,,positive,,,,
 nói chung vừa giá tiền,,,,,,,,positive,,
Loa to,,,,,,,positive,,,
xem phim nét,,,,,,,,,positive,
 pin xài lâu xạc nhanh,positive,,,,,,,,,
phát wi-fi quá tốt ghe gọi rõ,,,,,,,positive,,,
chắc chắn lên mua tuyệt vời,,,positive,,,,,,,
Máy ngon,,,positive,,,,,,,
tai phone em cấm nó bị tuột quài ạ,,,,,,negative,,,,
pin tuột nhanh quá,negative,,,,,,,,,
Về kiểm tra thì sức khỏe pin chỉ còn 93%,negative,,,,,,,,,
Máy sài ok,,,positive,,,,,,,
mức giá dưới 4tr,,,,,,,,neutral,,
"cập nhật xong cái hay bị như vậy,nếu có wifi hay 4g là nhảy vô web liền",,,,,negative,,,,,
Máy đẹp,,,,,,positive,,,,
loa ổn,positive,,,,,,,,,
Hiệu năng OK,,,,,positive,,,,,
"Miui 11 trên android 10 chưa tối ưu tốt cho lắm, giao diện gọi điện thuần google chưa tùy biến, tài khoản micloud chưa đồng bộ được cuộc gọi, tin nhắn cũng vậy, hdr trên Youtube chưa tối ưu lắm",,,,,negative,,,,,
Rất tốt ok,,,positive,,,,,,,
mỗi thứ đều ổn,,,positive,,,,,,,
loa nghe rất to,,,,,,,positive,,,
nhân viên TGDD tư vấn rất nhiệt tình,,,,positive,,,,,,
Pin thì quá tuyệt,positive,,,,,,,,,
không biết lag là gì,,,,,,,,,positive,
pin quá trâu,positive,,,,,,,,,
Xem phim trong bộ nhớ máy,,,,,,,,,,positive
Funtouch OS cho màu đẹp,,,,,positive,,,,,
"chất lượng phục vụ ở tgdd rất tốt, nhân viên vô cùng nhiệt tình",,,,positive,,,,,,
máy xài oke,,,positive,,,,,,,
 pin trâu nhưng lúc sạc máy rất nóng,neutral,,,,,,,,,
"iphone mua tại tgdd khá yên tâm, hàng chính hãng 100%, đã test, sẽ ghé ủng hộ lâu dài",,,,positive,,,,,,
sạc pin quá chậm mất 5 tiếng để sạc đầy pin,negative,,,,,,,,,
Cấu hình tầm trung để lướt web và vào Facebook thì dc,,,,,neutral,,,,,
sản phẩm của Trung Quốc nên mua về xong cảm thấy chán nản thật sự,,,,negative,,,,,,
máy bị lag quá ko xài đc,,,,,negative,,,,,
Xài khá ổn,,,positive,,,,,,,
tấn nền hơi xấu,,,,,,,,,negative,
pin trâu,positive,,,,,,,,,
thật sự con này rất ngon,,,positive,,,,,,,
Máy rất tốt,,,positive,,,,,,,
sạc nhanh nên ko lo về pin,positive,,,,,,,,,
như cầu giải trí nhẹ nên máy hoạt động rất mượt và OK,,,,,positive,,,,,
nếu có dịp sẽ ghé TGDD nữa ạ,,,,positive,,,,,,
Mọi thứ đều ổn,,,positive,,,,,,,
"ngoại trừ pin. Pin ảo quá 4,500 mà thua cái J7 pro hồi xưa mình xài. Nói chung để 3G cả ngày chỉ nt zalo và Kakaotalk để làm việc thôi thì tới 20:pm thì còn 22%",negative,,,,,,,,,
cảm ứng mượt mà,,,,,positive,,,,,
vân tay cũng nhạy,,,positive,,,,,,,
quá ngon luôn,,,positive,,,,,,,
cập nhật mấy hôm nay xongl à ngon lành,,,,,positive,,,,,
Mình cảm nhận pin không tụt nhanh như các bạn nói ! Sài vẫn 1 ngày bth. Sạc thì nhanh tiết kiệm thời gian,positive,,,,,,,,,
thiết kế cũng bắt mắt nữa,,,,,,positive,,,,
"lỗi tối màn hình, bỏ vào túi bị, có cuộc gọi tới bị",,,,,,,,,negative,
"lỗi đơ màn hình hoặc đang xem video thì đứng hình (hình không chạy nhưng tiếng vẫn chạy) phải tắt màn hình mở lại, rồi lỗi phiên bản MIUI chưa cập nhật nên không hiển thị hết các mục trong Thanh trạng thái",,,,,negative,,,,,
lỗi camera,,negative,,,,,,,,
MIMUI chức năng không đa dạng và nhiều tiện ích như EMUI của Huawei,,,,,negative,,,,,
Máy dùng đơ,,,,,negative,,,,,
Pin ko như mong đới . để qua đệm ko dùng gi củng hao phin mạnh,negative,,,,,,,,,
tôi dùng quá ok,,,positive,,,,,,,
Cấu hình,,,,,positive,,,,,
giá cả ok,,,,,,,,positive,,
Sp tốt,,,positive,,,,,,,
Cam hơi tệ,,negative,,,,,,,,
Chơi game mượt hơn a7(2018),,,,,positive,,,,,
Chán thật sự,,,negative,,,,,,,
máy chậm lag xem video facebook khựng,,,,,negative,,,,,
bắt wifi kém,,,,,,,negative,,,
"Nhìn ưng quá, máy đẹp",,,,,,positive,,,,
màn hìng cảm ứng có dấu hiệu đơ đơ. Nhấp vào ứng dụng không được. Màn hình cảm ứng nhảy loạn xạ lên. Lúc bấm được lúc bấm k được,,,,,,,negative,,,
Camrera để ở thông số kỹ thuật la độ phân giải 48MB mà sao ở đt có 12MB,,negative,,,,,,,,
danh bạ thì ko có chỗ xoá nhiều người cùng lúc,,,,,,,negative,,,
Quảng cáo vài phút lại hiện lên. Cảm thấy rất phiền,,,,,negative,,,,,
"Pin ổn, xạc nhanh",positive,,,,,,,,,
Chất lượng hơn mong muốnMọi thứ quá ổn,,,positive,,,,,,,
áy xài mượt,,,,,positive,,,,,
 pin tạm được,neutral,,,,,,,,,
 camera chụp đẹp,,positive,,,,,,,,
nhân viên tư vấn nhiệt tình,,,,positive,,,,,,
Máy pin trâu,positive,,,,,,,,,
nhạc to rõ,,,,,,,positive,,,
sạc pin nhanh,positive,,,,,,,,,
chụp ảnh nhiều hạt làm ảnh chưa nét lắm,,negative,,,,,,,,
Game thì giật đơ và tự thoát khỏi trò chơi nhất là liên quân,,,,,negative,,,,,
Cuoc gọi đến hiện số chậm khoảng 10s gây khó khăn cho việc trả lời cuộc goi,,,,,,,negative,,,
Mình chia tay con này sớm bớt đau khổ mọi người ơi,,,negative,,,,,,,
máy này sóng điện thoại chỉ được 2 đến 3 vạch thỉnh thoảng mới được 4 đến 5 vạch,,,,,,,negative,,,
6gb ram đa nhiệm quá tệ hơi thất vọng.đang chơi game tự nhiên văng ra màn hình chính rất bực,,,,,negative,,,,,
sài mượt,,,,,positive,,,,,
mấy người đã mua khác vẫn ngon như vậy,,,positive,,,,,,,
Pin trâu thoải mái cày phim,positive,,,,,,,,,
sóng sánh yếu so vs đt khác,,,,,,,negative,,,
hàng việt nam nên vẫn đánh giá 5sao,,,,positive,,,,,,
màn hình cảm ứg ko mướt đơ lắm,,,,,,,negative,,,
Hối hận khj mua tra gop con nay,,,negative,,,,,,,
Mặt lưng nhựa giả kính🙉,,,,,,negative,,,,
Chíp 765g,,,,,neutral,,,,,
giá thì trên mây,,,,,,,,negative,,
xài ok,,,positive,,,,,,,
"giờ mới nhận e nó lên android 10 giao diện đẹp hơn trước, thêm nhiều ứng dụng",,,,,positive,,,,,
"chụp màn hình ko cần bấm phím nguồn, chỉ cần vuốt 3 ngón tay",,,,,,,positive,,,
mức giá dưới 3tr ko có đối thủ,,,,,,,,positive,,
rất hài lòng,,,positive,,,,,,,
đặc biệt tính năng kết nối bluetooth với smartphone,,,,,,,positive,,,
nghe gọi xem phim lướt facebook thì ok có điều nó hơi lắc mất tầm 5s,,,,,neutral,,,,,
camera ko được tốt như quảng cáo chụp hình rất tệ,,negative,,,,,,,,
bin thì xuống quá nhanh xem một bộ phim 30 phút xuống gần 30% bin,negative,,,,,,,,,
Trên cả tuyệt vời,,,positive,,,,,,,
Ngoại hình đẹp,,,,,,positive,,,,
cam tốt,,positive,,,,,,,,
pin khoẻ,positive,,,,,,,,,
Chỉ tiếc dung lượng bộ nhớ hơi ít mà lại ko hỗ trợ thẻ nhớ ngoài,,,,,,negative,,,,
Ủng hộ hàng VN,,,,positive,,,,,,
pin để qua đem tụt pim nhiẻu dù đa tăt hêt ứng dụng tất cả wifi,negative,,,,,,,,,
Máy đầm chắc tay,,,,,,positive,,,,
"cảm ứng mượt, cảm biến bên hông cũng tiện tay. Rất thích",,,,,,,positive,,,
samsung a70 ok cái gì cũng tốt,,,positive,,,,,,,
Máy rất tệ,,,negative,,,,,,,
Giật lag và bị văng ứng dụng liên tục.bực không chịu được,,,,,negative,,,,,
Điện thoại ngon nhất trong tầm giá,,,positive,,,,,,,
"Nhân viên tư vấn tốt, phục vụ nhiệt tình",,,,positive,,,,,,
xài rất mượt,,,,,positive,,,,,
tắt ứng dụng làm mới ứng dụng nền thì pin xài cũng tương đối ổn không đến nổi quá tệ,neutral,,,,,,,,,
21tr,,,,,,,,neutral,,
chụp bình thường thì đẹp mà zoom lên bị noise xấu qá,,neutral,,,,,,,,
Nhận máy cảm thấy rất tuyệt vời,,,positive,,,,,,,
camera đẹp,,positive,,,,,,,,
màn hình sắc nét,,,,,,,,,positive,
Hiệu năng ổn trong tầm giá,,,,,positive,,,,,
Giao diện của samsung sang hơn các đt Trung Quốc,,,,,positive,,,,,
Máy ok,,,positive,,,,,,,
chiến game ko nóng mấy đâu ae nhé,,,,,positive,,,,,
Nhân viên điện máy xanh phổ yên thái nguyên nhiệt tình mỗi tội em nhân viên dán màn hình không ưng lắm,,,,neutral,,,,,,
pin cũng trâu sạc bin ko nhanh lắm nhưng cũng ok vì sạc nhanh có 18w đc cái này mất cái kia cũng là điều đương nhiên,positive,,,,,,,,,
Nói chung là tốt trong tầm giá ae lên mua,,,positive,,,,,,,
pin tụt nhanh thế sao,negative,,,,,,,,,
cảm nhận máy đẹp,,,,,,positive,,,,
camera nét,,positive,,,,,,,,
pin trâu sạc rất nhanh,positive,,,,,,,,,
vân tay nhạy,,,,,,,positive,,,
đáng đồng tiền,,,positive,,,,,,,
"cảm nhận máy nhanh, mát",,,,,positive,,,,,
rất xứng đáng để dùng. Quá tốt trong tầm giá 6tr,,,positive,,,,,,,
con này và con f11 pro thì thấy nó chơi game mượt hơn 1 chút,,,,,positive,,,,,
rẻ,,,,,,,,positive,,
đẹp,,,,,,positive,,,,
Dùng tốt vs các tác vụ cơ bản,,,,,positive,,,,,
pin trâu,positive,,,,,,,,,
Nhân vien tgdd tiền trung phục vụ nhiệt tình,,,,positive,,,,,,
mình thấy y91C ngon ngang ngửa với sam sung a10,,,neutral,,,,,,,
Đắt so với chất lượng,,,,,,,,negative,,
"vừa cài đặt ứng dụng xong là quay ra xập nguồn rồi khởi động lại liên tục, thi thoảng 15-20 phút lại 1 phát",,,,,negative,,,,,
cách cục wifi 4m dc 1 vạch sóng,,,,,,,negative,,,
Pin tuy 4500 nhưng mau hết nhah,negative,,,,,,,,,
Chơi game class of clan 5phút là máy nóng dần lên,,,,,negative,,,,,
có sạc nhah nhưng khi sạc mà nóng máy quá,negative,,,,,,,,,
Chụp ảnh cũng tạm được ok,,neutral,,,,,,,,
"máy ghi sạc nhanh , nhưng sạc đầy cái máy này mất 4-5h là sao vậy ? Có khi còn lâu hơn",negative,,,,,,,,,
"Máy có thiết kế liền mạch , hoàn thiện rất tốt",,,,,,positive,,,,
Camera chụp quá tuyệt vời so với tầm giá,,positive,,,,,,,,
"Chip tốc độ 2,3G xử lý rất mượt mà , nhanh chóng",,,,,positive,,,,,
Pin dùng bình thường cũng đc 1 ngày,neutral,,,,,,,,,
Cạnh viền bằng nhựa sát màn hình bằng nhựa dễ trầy,,,,,,negative,,,,
ngoài ra các thiết bị đều ổn,,,positive,,,,,,,
Bắt sóng wifi rất kém,,,,,,,negative,,,
cam hơi nhoè,,negative,,,,,,,,
pin tạm ổn pin này là lipo,neutral,,,,,,,,,
Hàng Việt Nam chất lượng Cao,,,,positive,,,,,,
dùng được 1 ngày khá sướng,,,positive,,,,,,,
pin khoẻ,positive,,,,,,,,,
"chiết tốt các loại game Liên Quân,FreeFire,PubgMobile,TFTMobile,TốcChiếnMobile",,,,,positive,,,,,
đáng giá tầm tiền đó bỏ ra,,,,,,,,positive,,
Tất cả mọi thứ đều OK,,,positive,,,,,,,
giá chưa đến 6tr,,,,,,,,neutral,,
góc dưới bên trái màn hình bị cảm ứng k đc nhạy lắm,,,,,,,negative,,,
nhân viên hỗ trợ đổi máy rất nhiệt tình,,,,positive,,,,,,
"Máy rất chậm, dùng hay bị đơ. Ko bằng mấy con 4 - 5tr. Máy rất chậm, dùng hay bị đơ. Ko bằng mấy con 4 - 5tr",,,,,negative,,,,,
Chán thật,,,negative,,,,,,,
Màn hình đen xì rồi cứ nháy nháy,,,,,,,,,negative,
rồi tự reset lại máy. Rồi cuối cùng là báo lỗi,,,,,negative,,,,,
Máy quá kém chơi game thì giật giật máy mau nóng quá,,,,,negative,,,,,
không hợp với giá 13 triệu,,,negative,,,,,,,
QUÁ TỆ,,,negative,,,,,,,
"Máy đẹp, bề ngoài nhìn sang",,,,,,positive,,,,
tác vụ bình thường xử lý mượt nhanh,,,,,positive,,,,,
pin ổn,positive,,,,,,,,,
camera ảnh chân thật khá ok,,positive,,,,,,,,
"nhược điểm khả năng ghi âm hơi tệ, như đi xem hòa nhạc quay lại nghe âm thanh rất chói",,,,,,,negative,,,
xem video liên tục có hiện tượng hơi nóng lên nhưng vẫn chấp nhận được,,,,,negative,,,,,
Thấy khá tốt trong tầm giá rồi,,,positive,,,,,,,
Sản phẩm không tích hợp cảm biến la bàn,,,,,,,negative,,,
chạy chậm,,,,,negative,,,,,
Nói chung so với máy Galaxy a10 thì chẳng hơn gì,,,negative,,,,,,,
Thiết kế đẹp,,,,,,positive,,,,
Cấu hình cao,,,,,positive,,,,,
Pin có cảm giác chỉ đủ dùng cơ bản,neutral,,,,,,,,,
Camera lấy sáng hơi kém,,negative,,,,,,,,
Có lúc bị đơ (khi xoá ảnh từ ứng dụng camera),,,,,negative,,,,,
"Có lúc gọi điện ko nghe bên kia nói, phải gọi lại mới nghe được",,,,,,,negative,,,
Mọi thứ đều chấp nhận được,,,neutral,,,,,,,
trừ wifi. Thời buổi internet mà vào mạng ntn thì cũng chỉ hơn cục gạch 1 chút,,,,,,,negative,,,
Máy tốt,,,positive,,,,,,,
pin khá trâu,positive,,,,,,,,,
hơi tiếc là ko có cùng ốp hay kính cường lực,,,,,,negative,,,,
Máy này thù mình đánh giá tạm ổn,,,neutral,,,,,,,
máy chậy rất mượt,,,,,positive,,,,,
 cảm biến vân tay và nhận diện khuôn mặt rất ok,,,,,,,positive,,,
bin bền,positive,,,,,,,,,
anh chụp rõ nét rất phù hợp chụp hình dành cho công việc room không nổ và mờ hình,,positive,,,,,,,,
nói chung rất đáng để mua,,,positive,,,,,,,
thjet kế cổ điển đẹp hơn giọt nuoc vien day,,,,,,positive,,,,
Pin hơi héo sử dụg ít thì dc 1 ngày xai nhiu phai sạc 2 lan,negative,,,,,,,,,
ko dùng cho việc choi game,,,,,negative,,,,,
Hiệu quả Thực tế Không tương thích với cấu hình của máy,,,,,negative,,,,,
Tính năng hạn chế hoặc không có,,,,,,,negative,,,
Sản phẩm tốt,,,positive,,,,,,,
mượt mà,,,,,positive,,,,,
chất lượng,,,positive,,,,,,,
nhân viên nhiệt tình chu đáo,,,,positive,,,,,,
5 sao cho sản phẩm,,,positive,,,,,,,
cửa hàng,,,,positive,,,,,,
iPhone 7lpus giá thì cao,,,,,,,,negative,,
mọi thứ sài rất ok,,,positive,,,,,,,
3G và wifi rất yếu thua một cái đt Samsung cùi bắp,,,,,,,negative,,,
mọi thứ đều kém hơn rất nhiều,,,negative,,,,,,,
công nghệ màn hình,,,,,,,,,negative,
con chip,,,,,negative,,,,,
hơn con A20 về camera,,positive,,,,,,,,
Wifi kết nối rất yếu chơi game toàn đỏ chả thấy xanh mặc dù cách wifi tầm 5m,,,,,,,negative,,,
tầm giá từ 4-6tr,,,,,,,,neutral,,
Khuyên mn k nên mua máy này,,,negative,,,,,,,
đem ra cửa hàng thì đổ lỗi cho sim nhưng 1 hồi thì nói không phải lỗi do sim,,,,negative,,,,,,
Vừa mua về thì đã thấy lỗi rồi,,,negative,,,,,,,
xài tốt,,,positive,,,,,,,
pin trâu sử dụng 1 ngày,positive,,,,,,,,,
không bị lỗi,,,,,positive,,,,,
Lòa ngoài hơi nhỏ nhưng rất tốt,,,,,,,neutral,,,
cái tiếng của camera thò thụt nhỏ hơn,,neutral,,,,,,,,
Mới mua tháng 4 mà t6 hư mất rồi,,,negative,,,,,,,
Nghe được mà người ta nói thì mình ko nghe gì,,,,,,,negative,,,
Máy tốt,,,positive,,,,,,,
mượt,,,,,positive,,,,,
Bin bền,positive,,,,,,,,,
Cam tạm đc,,neutral,,,,,,,,
Nói chung rất ổn,,,positive,,,,,,,
Nhân viên chu đáo nhiệt tình,,,,positive,,,,,,
Quá tệ,,,negative,,,,,,,
Sạc k vào,negative,,,,,,,,,
ko nhận diện đc khuông mặt,,,,,,,negative,,,
"1 số ứng dụng tự động dừng, chơi game máy lang",,,,,negative,,,,,
Hơi tệ,,,negative,,,,,,,
 pin hơi kém,negative,,,,,,,,,
 chơi khá lag,,,,,negative,,,,,
mặt lưng rất bám bụi,,,,,,negative,,,,
mọi thứ ok,,,positive,,,,,,,
màn hình quá tệ cùng độ phân giải funHD+ với j7pro nhưng màn hình còn thua j7pro,,,,,,,,,negative,
quá thất vọng khi bỏ ra 8triêu mua máy này,,,negative,,,,,,,
sản phẩm này thì khỏi chế,,,positive,,,,,,,
xóa phông chụp y như máy cơ,,positive,,,,,,,,
"bảo hành đổi trả thì khỏi lo luôn, rất yên tâm",,,,positive,,,,,,
"điện thoại xài rất êm, mượt, không bị đứng máy",,,,,positive,,,,,
bảo mật rất tốt,,,,,,,positive,,,
nhỏ gọn vừa tay,,,,,,positive,,,,
hiệu năng tốt,,,,,positive,,,,,
"màn HD+ nhưng ko hiểu sao nhìn cũng khá nét, ko khác gì màn full HD của mình",,,,,,,,,negative,
pin trâu bò lắm,positive,,,,,,,,,
cam xấu,,negative,,,,,,,,
"cảm ứng hơi lỗi nhẹ, nhiều khi bấm ko ăn, gõ phím cũng dễ dính phím rất khó chịu, chắc đây là điểm trừ lớn nhất trên sản phẩm này. Nói chung khả năng cảm ứng TỆ",,,,,,,negative,,,
Sản phẩm rất tốt,,,positive,,,,,,,
 máy mượt,,,,,positive,,,,,
rất ok,,,positive,,,,,,,
Máu sắc đẹp,,,,,,positive,,,,
Rất thích chế độ xóa phông trên sản phẩm và rất hay dùng,,positive,,,,,,,,
Nếu có đánh giá bên chính sách bán của tgdd ở mức tệ hại nhất có thể tôi là người xin đánh giá đầu tiên,,,,negative,,,,,,
iPhone 7 plus bị lỗi,,,,,negative,,,,,
máy siêu ổn,,,positive,,,,,,,
giá 6tr,,,,,,,,neutral,,
camera chấp nhận được ,,neutral,,,,,,,,
pin trâu ,positive,,,,,,,,,
tác vụ mượt mà,,,,,positive,,,,,
cảm biến vân tay bên cạnh siêu nhanh(lỡ chạm vào đã mở được)mic + loa wifi và 4g đều ổn ,,,,,,,positive,,,
chiến game tốt mình vừa nghe nhạc vừa nhắn tin vừa chơi 2 game nặng kia vẫn mượt mà nha.,,,,,positive,,,,,
Đt ám vàng,,,,,,,,,negative,
pin tuột nhanh,negative,,,,,,,,,
bắt sóng yếu nhiều lúc nhấn ko ăn,,,,,,,negative,,,
"Máy thiết kế đẹp ,màu sắc thời thượng",,,,,,positive,,,,
cam chụp đẹp màu sã tươi sáng,,positive,,,,,,,,
khong nhận diện khuôn mặt thôi ngoài ra tính năng ổn,,,,,positive,,,,,
pin trâu,positive,,,,,,,,,
Mọi thứ đều ổn,,,positive,,,,,,,
màn hình đẹp,,,,,,,,,positive,
 game chiến tốt,,,,,positive,,,,,
thiết kế điện thoại theo xu hướng đục lỗ camera này nọ,,,,,,positive,,,,
pin 5000 thì theo mình sử dụng không được trâu lắm,negative,,,,,,,,,
con đầu bị đơ camera k chụp hình d,,negative,,,,,,,,
còn con thứ 2 bật wifi ok đến lúc tắt màn hình thì wifi cũng tắt theo luôn .mặc dù k tắt wifi,,,,,,,negative,,,
màn hình tràn viền cực đã,,,,,,,,,positive,
lướt màn hình rất nhanh,,,,,,,positive,,,
cụm camera chụp nét,,positive,,,,,,,,
cầm vừa tay rất thích,,,,,,positive,,,,
không còn gì để chê về sản phẩm. Mọi thứ đều rất ok,,,positive,,,,,,,
màn hình,,,,,,,,,positive,
camera,,positive,,,,,,,,
dung lượng pin,positive,,,,,,,,,
5 sao cho siêu phẩm năm nay của samsung,,,positive,,,,,,,
diện thoại sử dụng rất tốt,,,positive,,,,,,,
chụp ảnh đẹp,,positive,,,,,,,,
pin sài lâu,positive,,,,,,,,,
"màu sơn rất bền màu, k bị nổ sơn",,,,,,positive,,,,
mình rất hài lòng khi mua sp này,,,positive,,,,,,,
mọi thứ điều tốt,,,positive,,,,,,,
màn hình nhìn hơi ảo xíu,,,,,,,,,negative,
Còn mọi thứ điều đỉnh,,,positive,,,,,,,
"Game, chụp ảnh,...máy không nóng như tưởng tượng",,,,,negative,,,,,
Ấn tượng nhất là viên pin. Liên quân liên tục 7 tiếng vẫn còn hơn 20%,positive,,,,,,,,,
"Thanks TGDD Cái Dầu,Châu Phú nhiệt tình, chu đáo. Vs Xiaomi đã cho ra sản phẩm tuyệt vời ntn",,,,positive,,,,,,
điện thoại không ổn định,,,negative,,,,,,,
"thỉnh thoảng không nhận sim phải khởi động lại, vân tay và nhận diện khuôn mặt lúc được lúc không",,,,,,,negative,,,
pin dùng lâu,positive,,,,,,,,,
camera nét,,positive,,,,,,,,
Máy thiết kế đẹp,,,,,,positive,,,,
"pin trâu khỏe ngoài ra có sạc nhanh đi kèm cực tiện lợi,",,,,,,,positive,,,
"camera 48mp thì chụp ảnh đẹp nét, có thêm camera góc rộng giúp tôi chụp hình thêm nhiều góc hơn",,positive,,,,,,,,
Cảm ơn nhân viên tgdd đã tư vấn,,,,positive,,,,,,
sản phẩm quá tốt,,,positive,,,,,,,
mà lại rẻ chỉ 4tr690,,,,,,,,positive,,
thấy máy dùng được mà,,,positive,,,,,,,
Pin sạc đầy để qua đêm không bị hao tý nào,positive,,,,,,,,,
camera nét,,positive,,,,,,,,
nhiều tính năng hay,,,,,,,positive,,,
"đôi lúc mở khóa vân tay chưa nhạy lắm, còn mở khóa khuôn mặt được",,,,,,,neutral,,,
Dùng máy không bị nóng,,,,,positive,,,,,
nói chung giá tiền ấy là được,,,,,,,,positive,,
Lỗi blutoth giật lag,,,,,,,negative,,,
Máy quá tuyệt,,,positive,,,,,,,
Pin sài đến 1 ngày rưỡi,positive,,,,,,,,,
Camera chụp thì đẹp khỏi chê chỗ nào đc,,positive,,,,,,,,
Cấu hình thù k biết lưu khi nào cho hết bộ nhớ,,,,,,,,,,positive
thiết kế sang trọng,,,,,,positive,,,,
Nhân viên tư vấn nhiệt tình. Cho các bạn 10đ,,,,positive,,,,,,
cam trước lỗi,,negative,,,,,,,,
pin sạc có vẻ nóng cục sạc,negative,,,,,,,,,
có 2tr990,,,,,,,,positive,,
Sài rất tốt,,,positive,,,,,,,
chụp ngoại trời siêu sắc nét đẹp,,positive,,,,,,,,
Cao hơn cả mong đợi,,,positive,,,,,,,
Chơi game max sướng. máy ít bị nóng,,,,,positive,,,,,
Nói chung là dùng thích nhất vẫn là iPhone,,,positive,,,,,,,
máy rất OK,,,positive,,,,,,,
Pin rất trâu,positive,,,,,,,,,
chơi game mượt cả cấu hình cao cũng OK,,,,,positive,,,,,
